PRICECHANGE,value,total_points,transfers_balance ,selected,transfers_in,transfers_out,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,errors_leading_to_goal_attempt,tackled,offside,target_missed,fouls,dribbles,opponent_team
0,49,0,717,6645,298,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,50,0,0,4544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
0,50,0,832,4431,169,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8
-1,49,0,1210,3433,129,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18
0,49,0,816,2649,26,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
0,45,2,0,191871,0,0,90,0,0,0,3,0,0,0,0,0,4,0,15,302,0,0,30,0,0,0,0,5,0,0,0,17,14,0,0,0,0,0,0,0,0,9,11
0,45,2,5665,192550,2061,7726,90,0,0,0,1,0,0,0,0,0,1,0,11,100,0,0,10,0,0,0,0,9,0,0,0,33,15,0,0,0,0,0,0,0,0,20,20
0,45,7,8343,186834,3375,11718,90,0,0,0,1,0,1,0,1,0,3,0,26,414,0,0,41,0,0,0,2,4,0,0,0,34,12,0,0,0,0,0,0,0,0,22,5
0,45,6,1100,189041,8600,9700,90,0,0,1,0,0,0,0,0,0,2,0,23,162,0,0,16,0,0,0,3,5,0,0,0,20,13,0,0,0,1,0,0,0,0,32,19
0,45,0,0,4315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
0,45,0,223,4539,65,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20
